Sex,Marital status,Age,Education,Income,Occupation,Settlement size,component 1,component 2,component 3,K-means PCA,Segment
0,0,67,2,124670,1,2,2.5147459290711836,0.8341223865739535,2.174805904238934,3,well-off
1,1,22,1,150773,1,2,0.3449352773984399,0.5981456362864317,-2.211602790310861,0,standard
0,0,49,1,89210,0,0,-0.6510626672489119,-0.6800931775067862,2.2804185984197245,2,fewer-opportunities
0,0,45,1,171565,1,1,1.7143162580925289,-0.57992650442025,0.7307310859504093,1,career-focused
0,0,53,1,149031,1,1,1.626744546735702,-0.4404955250904591,1.2449088848402619,1,career-focused
0,0,35,1,144848,0,0,-0.27473364766861713,-0.8710700778173781,1.3101518372044825,2,fewer-opportunities
0,0,53,1,156495,1,1,1.729503710398148,-0.4160689587259408,1.2124541252752723,1,career-focused
0,0,35,1,193621,2,1,2.5103773413515285,-0.7512564130560758,-0.5049165465040124,1,career-focused
0,1,61,2,151591,0,0,0.4198913408327382,1.9361148117961817,2.2091174741190454,3,well-off
0,1,28,1,174646,2,0,1.0987288359811112,0.11113129467793241,-1.3065614874790528,1,career-focused
1,1,25,1,108469,1,0,-1.2983141563589287,0.7110800056355013,-1.1435911988218117,0,standard
1,1,24,1,127596,1,0,-1.0628195079369926,0.7470277950690745,-1.2787832042557752,0,standard
1,1,22,1,108687,1,2,-0.23447551599621566,0.46041566951029056,-2.028605602334957,0,standard
0,0,60,2,89374,0,0,-0.08108348107489696,0.6805625802045243,3.3115996432965766,2,fewer-opportunities
1,1,28,1,102899,1,1,-0.7193326961002399,0.6870739877557315,-1.3272948341009536,0,standard
1,1,32,1,88428,0,0,-2.150131896621009,0.8090634013638577,-0.07277866384891471,0,standard
0,0,53,1,125550,1,0,0.7313068886063144,-0.4316205731123191,1.7110048094014452,2,fewer-opportunities
0,0,25,0,157434,1,2,1.273723367670656,-2.3118312451809833,-1.0719361092440853,1,career-focused
1,1,44,2,261952,2,2,3.5201856565317935,2.638182664646773,-1.7103637464028179,3,well-off
0,0,31,0,144657,1,1,0.6926464937246121,-2.1080450159389743,-0.34023596338418266,1,career-focused
0,0,48,1,118777,1,1,1.0710655441640213,-0.6727388947852468,1.116335945944422,1,career-focused
0,0,44,1,147511,1,1,1.3553249142706163,-0.6852921611531111,0.783297517383516,1,career-focused
0,0,48,1,89804,0,0,-0.6707174802626824,-0.7047961858269132,2.2258112739903093,2,fewer-opportunities
0,0,44,1,134918,1,2,1.754120815974618,-0.8122223053919201,0.47405756770810903,1,career-focused
0,1,26,1,103667,1,2,0.4394739346860112,-0.3688434876367957,-1.210475303212587,1,career-focused
0,0,36,1,71909,0,0,-1.2510745065679854,-1.0831221530504498,1.679327701388609,2,fewer-opportunities
0,1,39,1,68264,0,0,-1.601176734772284,0.010185002863822627,0.9672738895514359,2,fewer-opportunities
1,1,42,2,163025,1,1,0.759659401941195,2.323901191865099,-0.40076537898257586,3,well-off
0,0,34,1,119307,1,1,0.6887059261357845,-1.0440613496531639,0.3856882750436824,1,career-focused
0,0,63,2,175882,1,0,1.964131634140903,1.0665672514335578,2.4720222261679092,3,well-off
0,1,36,1,159646,1,1,0.9163122438825514,0.16654021414629386,-0.5696400661431754,1,career-focused
0,0,27,0,120131,1,1,0.24365920565035462,-2.2948961017835594,-0.44169072441677376,1,career-focused
0,0,30,0,162745,1,2,1.4860044844930875,-2.1612159361547616,-0.8349067035972361,1,career-focused
0,0,57,2,87605,0,0,-0.18893561976322695,0.5948326097510559,3.163218030567721,2,fewer-opportunities
1,1,33,1,155569,2,1,0.9156895406443248,1.0156348106998419,-1.91568977013648,0,standard
0,0,25,0,104505,0,0,-1.3700367847058619,-2.3365680616055955,0.5057005253020755,2,fewer-opportunities
0,0,31,0,143385,1,2,1.2473020540329212,-2.197926237641246,-0.6987015739699926,1,career-focused
0,0,37,1,127676,1,1,0.8874222770658271,-0.9367323253403946,0.505371949250441,1,career-focused
0,0,37,1,119276,1,1,0.7717769160309199,-0.964222030252232,0.5418965982785644,1,career-focused
0,0,24,0,92542,1,1,-0.2196647451714639,-2.465124189001747,-0.47780252310918386,1,career-focused
0,0,30,0,163329,2,1,1.692612346292127,-2.050627040046392,-1.0929487904254398,1,career-focused
0,1,26,1,130921,1,0,-0.32964708221958855,-0.10821549561659691,-0.6009874245986965,0,standard
0,0,44,1,133658,0,0,-0.17829646029325444,-0.6678679833534703,1.8270284771787817,2,fewer-opportunities
0,1,24,1,155104,1,1,0.5197900397080958,-0.16808694001917573,-1.174184786182082,1,career-focused
1,1,58,2,142335,0,1,0.1494000098484009,2.659582989137801,1.1410897096068289,3,well-off
1,1,35,1,138387,2,1,0.7348048923394482,1.0126991201543902,-1.736930450259102,0,standard
